nam	thang	ngay	nhiet_do_ghi_nhan	nhiet_do_ngay_mai
2024 03 09 31 35
2024 03 10 33 37
2024 03 11 31 36
2024 03 12 35 35
2024 03 13 36 37
2024 03 14 33 36
2024 03 15 32 31
2024 03 17 35 34
2024 03 18 35 37
2024 03 19 26 36
2024 03 20 30 37
2024 03 21 26 36
2024 03 22 34 35
2024 03 23 34 37
2024 03 23 34 37
2024 03 24 38 37
2024 03 25 39 38
2024 03 26 32 38
2024 03 27 35 35
2024 03 28 37 36
2024 03 29 37 37
2024 03 30 35 38
2024 03 31 32 38
2024 03 31 32 38
